Actual Quotients for Party List Seat Allocation,,,,,,,,,,,,,,
Party Quotients,,,,,,,,,,,,,,
Divisor,Labour Party,Seat No.,National Party,Seat No.,Alliance,Seat No.,ACT New Zealand,Seat No.,Green Party,Seat No.,New Zealand First Party,Seat No.,United NZ,Seat No.
1,800199,1,629932,2,159859,6,145493,7,106560,10,87926,13,11065,88
3,266733,3,209977.333,4,53286.333,19,48497.667,20,35520,27,29308.667,34,3688.333,
5,160039.8,5,125986.4,8,31971.8,31,29098.6,35,21312,46,17585.2,56,2213,
7,114314.143,9,89990.286,11,22837,43,20784.714,47,15222.857,64,12560.857,77,1580.714,
9,88911,12,69992.444,15,17762.111,55,16165.889,60,11840,83,9769.556,99,1229.444,
11,72745.364,14,57266.545,17,14532.636,68,13226.636,73,9687.273,102,7993.273,,1005.909,
13,61553.769,16,48456.308,21,12296.846,80,11191.769,87,8196.923,119,6763.538,,851.154,
15,53346.6,18,41995.467,24,10657.267,93,9699.533,100,7104,,5861.733,,737.667,
17,47070.529,22,37054.824,26,9403.471,105,8558.412,114,6268.235,,5172.118,,650.882,
19,42115.737,23,33154.316,29,8413.632,116,7657.526,,5608.421,,4627.684,,582.368,
21,38104.714,25,29996.762,32,7612.333,,6928.238,,5074.286,,4186.952,,526.905,
23,34791.261,28,27388.348,37,6950.391,,6325.783,,4633.043,,3822.87,,481.087,
25,32007.96,30,25197.28,39,6394.36,,5819.72,,4262.4,,3517.04,,442.6,
27,29637,33,23330.815,41,5920.704,,5388.63,,3946.667,,3256.519,,409.815,
29,27593.069,36,21721.793,44,5512.379,,5017,,3674.483,,3031.931,,381.552,
31,25812.871,38,20320.387,49,5156.742,,4693.323,,3437.419,,2836.323,,356.935,
33,24248.455,40,19088.848,51,4844.212,,4408.879,,3229.091,,2664.424,,335.303,
35,22862.829,42,17998.057,53,4567.4,,4156.943,,3044.571,,2512.171,,316.143,
37,21627,45,17025.189,58,4320.514,,3932.243,,2880,,2376.378,,299.054,
39,20517.923,48,16152.103,61,4098.949,,3730.59,,2732.308,,2254.513,,283.718,
41,19517.049,50,15364.195,63,3899,,3548.61,,2599.024,,2144.537,,269.878,
43,18609.279,52,14649.581,66,3717.651,,3383.558,,2478.14,,2044.791,,257.326,
45,17782.2,54,13998.489,70,3552.422,,3233.178,,2368,,1953.911,,245.889,
47,17025.511,57,13402.809,72,3401.255,,3095.596,,2267.234,,1870.766,,235.426,
49,16330.592,59,12855.755,75,3262.429,,2969.245,,2174.694,,1794.408,,225.816,
51,15690.176,62,12351.608,78,3134.49,,2852.804,,2089.412,,1724.039,,216.961,
53,15098.094,65,11885.509,82,3016.208,,2745.151,,2010.566,,1658.981,,208.774,
55,14549.073,67,11453.309,85,2906.527,,2645.327,,1937.455,,1598.655,,201.182,
57,14038.579,69,11051.439,89,2804.544,,2552.509,,1869.474,,1542.561,,194.123,
59,13562.695,71,10676.814,91,2709.475,,2465.983,,1806.102,,1490.271,,187.542,
61,13118.016,74,10326.754,95,2620.639,,2385.131,,1746.885,,1441.41,,181.393,
63,12701.571,76,9998.921,97,2537.444,,2309.413,,1691.429,,1395.651,,175.635,
65,12310.754,79,9691.262,101,2459.369,,2238.354,,1639.385,,1352.708,,170.231,
67,11943.269,81,9401.97,106,2385.955,,2171.537,,1590.448,,1312.328,,165.149,
69,11597.087,84,9129.449,108,2316.797,,2108.594,,1544.348,,1274.29,,160.362,
71,11270.408,86,8872.282,110,2251.535,,2049.197,,1500.845,,1238.394,,155.845,
73,10961.63,90,8629.205,112,2189.849,,1993.055,,1459.726,,1204.466,,151.575,
75,10669.32,92,8399.093,117,2131.453,,1939.907,,1420.8,,1172.347,,147.533,
77,10392.195,94,8180.935,120,2076.091,,1889.519,,1383.896,,1141.896,,143.701,
79,10129.101,96,7973.823,,2023.532,,1841.684,,1348.861,,1112.987,,140.063,
81,9879,98,7776.938,,1973.568,,1796.21,,1315.556,,1085.506,,136.605,
83,9640.952,103,7589.542,,1926.012,,1752.928,,1283.855,,1059.349,,133.313,
85,9414.106,104,7410.965,,1880.694,,1711.682,,1253.647,,1034.424,,130.176,
87,9197.69,107,7240.598,,1837.46,,1672.333,,1224.828,,1010.644,,127.184,
89,8991,109,7077.888,,1796.169,,1634.753,,1197.303,,987.933,,124.326,
91,8793.396,111,6922.33,,1756.692,,1598.824,,1170.989,,966.22,,121.593,
93,8604.29,113,6773.462,,1718.914,,1564.441,,1145.806,,945.441,,118.978,
95,8423.147,115,6630.863,,1682.726,,1531.505,,1121.684,,925.537,,116.474,
97,8249.474,118,6494.144,,1648.031,,1499.928,,1098.557,,906.454,,114.072,
99,8082.818,,6362.949,,1614.737,,1469.626,,1076.364,,888.141,,111.768,
101,7922.762,,6236.95,,1582.762,,1440.525,,1055.05,,870.554,,109.554,
103,7768.922,,6115.845,,1552.029,,1412.553,,1034.563,,853.65,,107.427,
Number of Party Votes,800199,,629932,,159859,,145493,,106560,,87926,,11065,
Percentage,41.22,,32.45,,8.24,,7.5,,5.49,,4.53,,0.57,
Electorate Seats,41,,22,,1,,0,,1,,1,,1,
List Seats,8,,17,,9,,9,,6,,4,,0,
Total seats,49,,39,,10,,9,,7,,5,,1,
