All Electorates,Total Party Votes,ACT New Zealand,Aotearoa Legalise Cannabis Party,Ban1080,Conservative,Democrats for Social Credit,Focus New Zealand,Green Party,Internet MANA,Labour Party,Māori Party,National Party,New Zealand First Party,NZ Independent Coalition,The Civilian Party,United Future,Independents & parties with no list candidates,Candidate Informals,Party Vote Only,Total % 
 ACT New Zealand,16689,25.64,0.14,0.12,4.33,0.19,0.04,2.29,0.56,13.42,0.43,45.82,1.05,0.07,0,0.67,0.41,3.3,1.52,100
Aotearoa Legalise Cannabis Party,10961,1.15,8.88,1.3,2.59,0.79,0.1,19.43,5.09,27.63,4.28,14.88,4.11,0.26,0,0.35,1.41,2.43,5.32,100
Ban1080,5113,0.76,0.9,19.71,5.01,0.86,0.02,9.04,1.88,21.02,1.62,26.42,6.34,0.12,0,0.37,1.31,2.17,2.44,100
Conservative,95598,0.7,0.06,0.16,40.28,0.31,0.16,1.44,0.22,10.09,0.36,41.91,1.86,0.09,0,0.46,0.2,0.78,0.94,100
Democrats for Social Credit,1730,0.92,0.23,0.52,4.97,44.28,0.29,6.42,1.39,17.4,0.75,13.29,3.29,0.29,0,0.58,1.79,2.54,1.04,100
Focus New Zealand,639,1.88,0.16,0.63,6.57,1.56,27.86,5.01,4.07,21.44,2.97,15.96,3.76,0.63,0,0.47,2.82,2.03,2.19,100
Green Party,257359,0.26,0.28,0.15,0.82,0.21,0.04,34.61,1.7,47.39,1.45,8.56,1.18,0.09,0,0.23,0.28,0.77,1.96,100
Internet MANA,34094,0.45,0.96,0.28,1.09,0.4,0.08,11.45,42.42,27.5,3.29,3.58,1.73,0.09,0,0.09,0.75,1.03,4.8,100
Labour Party,604535,0.17,0.16,0.08,0.78,0.1,0.02,5.23,1.6,82.26,1.28,3.14,1.44,0.05,0,0.15,0.11,0.87,2.56,100
Māori Party,31849,0.25,0.26,0.05,0.79,0.17,0.03,4.89,6.51,19.54,49.75,10.74,1.21,0.12,0,0.29,0.29,1.33,3.78,100
National Party,1131501,1.71,0.08,0.12,2.22,0.08,0.06,1.9,0.12,5.95,0.59,83.28,1,0.05,0,1.01,0.1,0.71,1.04,100
New Zealand First Party,208300,0.54,0.38,0.36,3.89,0.54,0.21,6.12,1.87,37.48,2.72,18.59,22.16,0.21,0,0.27,0.58,2.37,1.69,100
NZ Independent Coalition,872,1.72,0.69,0.23,5.85,1.49,0.11,6.08,2.52,22.59,3.21,20.3,5.16,18,0,0.34,5.5,3.67,2.52,100
The Civilian Party,1096,2.65,1.82,0.55,6.48,1.92,0.09,15.6,3.01,28.92,1.64,23.18,3.74,0.36,0,1.28,3.1,3.47,2.19,100
United Future,5286,1.49,0.19,0.7,5.37,0.85,0.17,6.91,0.61,22.06,1.27,44.48,2.5,0.15,0,9.06,1.08,1.66,1.46,100
Party Informals,10857,0.6,0.16,0.21,1.43,0.19,0.08,2.53,2.35,27.13,1.49,12.16,1.7,0.08,0,0.2,0.5,46.07,3.1,100
Total Party Votes and Percentages,2416479,1.15,0.2,0.18,3.36,0.19,0.07,6.86,1.54,33.16,1.74,44.77,3.04,0.08,0,0.61,0.2,1.15,1.7,100
